index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher,units sold,language
573,2015.0,Grey,E.L. James,English,Intermediate,3.76,75320,popular_fiction,1134.72,680.832,7.88,637,Hachette Book Group,3888,English
574,1969.0,Dune Messiah ,Frank Herbert,English,Intermediate,3.86,82580,popular_fiction,570.57,0.0,3.99,641,"Amazon Digital Services,  Inc.",3861,English
575,1945.0,The Great Divorce,C.S. Lewis,English,Excellent,4.28,75031,fiction,1428.57,857.142,9.99,642,Penguin Group (USA) LLC,3861,English
576,2004.0,Little Earthquakes,Jennifer Weiner,,Intermediate,3.76,77592,nonfiction,1072.5,643.5,7.5,645,Random House LLC,3861,
577,1835.0,Eventyr og historier,"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter",English,Excellent,4.28,90999,popular_fiction,708.58,0.0,4.99,646,"Amazon Digital Services,  Inc.",3834,English
578,2009.0,New Moon: The Complete Illustrated Movie Companion,Mark Cotta Vaz,English,Excellent,4.34,82399,popular_fiction,1560.58,936.348,10.99,647,Penguin Group (USA) LLC,61560,English
579,2014.0,Maybe Someday,Colleen Hoover,English,Excellent,4.33,81707,popular_fiction,969.86,581.916,6.83,649,Random House LLC,61128,English
580,1999.0,Mr Maybe,Jane Green,English,Novice,3.41,78132,popular_fiction,562.59,0.0,3.99,651,"Amazon Digital Services,  Inc.",61128,English
581,1915.0,Anne of the Island,L.M. Montgomery,English,Excellent,4.21,97049,popular_fiction,139.59,83.754,0.99,652,Random House LLC,60696,English
582,1883.0,Also sprach Zarathustra,"Friedrich Nietzsche, Walter Kaufmann",English,Excellent,4.05,65362,popular_fiction,1030.71,618.426,7.31,652,Penguin Group (USA) LLC,59400,English
583,1854.0,North and South,"Elizabeth Gaskell, Alan Shelston",English,Excellent,4.13,95274,popular_fiction,562.59,0.0,3.99,653,"Amazon Digital Services,  Inc.",58968,English
584,2011.0,A Stolen Life,Jaycee Dugard,English,Intermediate,3.89,72713,fiction,558.6,0.0,3.99,655,"Amazon Digital Services,  Inc.",57240,English
585,2010.0,The Immortals of Meluha,Amish Tripathi,English,Intermediate,4.0,62784,popular_fiction,418.6,251.16,2.99,658,"Amazon Digital Services,  Inc.",56808,English
586,1995.0,The Lost World,Michael Crichton,English,Intermediate,3.72,83389,popular_fiction,1398.6,839.16,9.99,658,"Amazon Digital Services,  Inc.",55728,English
587,2013.0,Requiem,Lauren Oliver,English,Intermediate,3.74,100593,popular_fiction,698.6,0.0,4.99,659,"Amazon Digital Services,  Inc.",55080,English
588,1996.0,A Crown of Swords,Robert Jordan,English,Intermediate,4.0,86421,nonfiction,137.61,0.0,0.99,661,"Amazon Digital Services,  Inc.",54000,English
589,-560.0,Aesopica,"Aesop, Laura Harris, Laura Gibbs",English,Excellent,4.05,88508,popular_fiction,693.61,0.0,4.99,663,"Amazon Digital Services,  Inc.",53784,English
590,1985.0,Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,English,Excellent,4.18,71095,popular_fiction,725.88,435.528,5.26,665,Penguin Group (USA) LLC,53784,English
591,2012.0,Finale,Becca Fitzpatrick,English,Excellent,4.22,107569,popular_fiction,1516.62,909.972,10.99,666,Penguin Group (USA) LLC,53784,English
592,1985.0,Skeleton Crew,Stephen King,English,Intermediate,3.93,82320,popular_fiction,957.72,574.632,6.94,668,Random House LLC,53568,English
593,2002.0,Lullaby,Chuck Palahniuk,,Intermediate,3.73,66713,popular_fiction,1094.63,656.778,7.99,671,Hachette Book Group,53352,
594,2009.0,Two States,Chetan Bhagat,English,Intermediate,3.42,67866,popular_fiction,836.4,501.84,6.15,675,"Amazon Digital Services,  Inc.",53352,English
595,2005.0,ãƒ´ã‚¡ãƒ³ãƒ‘ã‚¤ã‚¢é¨Žå£« 1,"Matsuri Hino, Tomo Kimura",English,Excellent,4.1,89733,nonfiction,1225.36,0.0,9.01,675,"Amazon Digital Services,  Inc.",53136,English
596,2002.0,Summer Knight,Jim Butcher,English,Excellent,4.3,91012,popular_fiction,542.64,0.0,3.99,676,"Amazon Digital Services,  Inc.",52920,English
597,1968.0,Dragonflight,"Anne McCaffrey, Teodor PanasiÅ„ski",English,Excellent,4.1,95378,popular_fiction,133.65,0.0,0.99,679,"Amazon Digital Services,  Inc.",52488,English
598,2007.0,"The History of the Hobbit, Part One: Mr. Baggins","John D. Rateliff, J.R.R. Tolkien",English,Intermediate,3.81,108399,popular_fiction,538.65,0.0,3.99,680,"Amazon Digital Services,  Inc.",52488,English
599,2014.0,Ugly Love,Colleen Hoover,English,Excellent,4.3,107583,popular_fiction,808.65,485.19,5.99,681,Random House LLC,52488,English
600,1998.0,Chocolat,Joanne Harris,English,Intermediate,3.95,84770,nonfiction,873.68,524.208,6.52,682,"Amazon Digital Services,  Inc.",52056,English
601,1977.0,The Amityville Horror,Jay Anson,English,Intermediate,3.82,80959,popular_fiction,1191.26,714.756,8.89,684,Hachette Book Group,52056,English
602,1992.0,The English Patient,Michael Ondaatje,,Intermediate,3.88,83741,popular_fiction,663.67,0.0,4.99,688,"Amazon Digital Services,  Inc.",51840,
603,2012.0,Gabriel's Rapture,Sylvain Reynard,English,Excellent,4.22,91213,popular_fiction,530.67,0.0,3.99,689,"Amazon Digital Services,  Inc.",51624,English
604,1914.0,Dubliners,"James Joyce, Jeri Johnson",English,Intermediate,3.85,73140,fiction,397.67,238.602,2.99,690,Random House LLC,51408,English
605,2009.0,Let the Great World Spin,Colum McCann,English,Intermediate,3.93,71515,popular_fiction,394.68,0.0,2.99,692,"Amazon Digital Services,  Inc.",51192,English
